id,date,source,transaction,transaction_group,category,category_group,area,area_group,price_usd,price_text,size_m2,land_dunum,floor,price_per_m2,score,has_photos,tags,parse_confidence,needs_review,raw_text
05aa6cb5eb,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع,بيع,تجاري,محل تجاري,باب شرقي,باب شرقي,17000.0,17 ألف دولار,404.0,,,42.08,9,False,طابو أخضر; تجاري,high,False,"الأرض  للبيع🌷
تم تنزيل السعر لضرورة البيع
🌀🌀🌀🌀🌀
أوتستراد الكباس تحت جسر عين ترما بعيدي عن الشارع العام 20 متر 
طابو اخضر شرقي باب شرقي مسجد اقصاب
تصلح مغسل سيارات او اي عمل تجاري
مساحة الأرض 404 متر (17 قصبي)
 سعر القصبي 17 ألف دولار وبازار🌷"
c3be4f88ff,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع,بيع,تجاري,محل تجاري,المزة,المزة,325000.0,325 الف دولار,220.0,,أرضي,1477.27,9,False,حديقة; مدخل مستقل; كراج,high,False,"للبيع بيت 🌷
🌈🌈🌈🌈🌈🌈🌈
 المزة شيخ سعد مقابل صالة الاحسان خلف مركز التصوير الشعاعي
ارضي كبير خرج عائلة كبيرة او عائلتين
مساحة داخلية 220م 
التوزيع اربع غرف نوم تلات حمامات مطبخين 
حديقة 300م 
كراج ومدخل مستقل  ومدخل من البناء
ساعتين كهرباء وعدادين ماء 
الكسوة قديمة
الملكية. طابو اسكان 
3اتجاهات
البناء كامل 4 طوابق
بعد تخفيض صاير👇🏻
 السعر  325 الف دولار وبازار ناعم
Read more"
42c53a1372,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع/إيجار,بيع/إيجار,شقة/سكني,سكني,شارع الأمين,شارع الأمين,60000.0,60 الف$,40.0,,,1500.0,9,True,فيديو,high,False,"للبيع او للاجار🎯
 البيت غرفة وصالون كسوة ديلوكس ومفروش كامل بشارع الامين مقابل فلافل الهم
: اذا اجار شهور الشهر 350$ واذا شهر 500$

وما بيدفع المستأجر مي ولا كهربا يعني المبلغ من ضمنه المي والكهربا
نصاصي: حكم محكمة
 مساحه 40 متر
  الاتجاه قبلي
المطلوب 350 $بالشهر
 واذا شهر 500 $
مطلوب بيع 60 الف$
 يوجد فيديو🎯"
c752065f0a,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,الفيحاء,الفيحاء,260000.0,260 الف دولار,180.0,,طابق ثالث,1444.44,10,True,طابو أخضر; صور,high,False,"للبيع  بيت 🎯🎯
على اوتوستراد الفيحاء
 اطلاله مباشره عالحزام الاخضر ثلاث اتجاهات شرقي قبله غربي🎯
 طابق ثالث مساحه 180 متر ست غرف وموزع 
  ٤ براندت ..و٣ سقيفه
البناء على الاستراد مباشر
 بكل طابق بيتين فقط
 تدفئه مركزيه
 طابو اخضر
البيت ورثه 
السعر  260 الف دولار وسكرا
🎯🎯لايوجدصور"
ab373052fd,2026-08-16,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,وسط البلد,وسط البلد,1000.0,مطلوب 1000,,,,,8,True,صور; تجاري,medium,True,"بيت للاجار
⚘️⚘️⚘️⚘️⚘️⚘️ بالحلبوني منطقة هادية ووسط البلد  ((لعرسان حصرا )) مفروش غرفة نوم  وصالون وغرفة سفرا مجهز افضل التجهيز والاكساء سوبر ديلوكس اول مرة بيتاجر  
 مطلوب ١٠٠٠ بالشهر  اذا مع منظومة طاقة كاملة ..  وعمولة  مكتب وتامين
يوجد صور
⚘️⚘️⚘️"
4034f33b01,2026-08-15,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,الجسر الأبيض,الجسر الأبيض,300.0,مطلوب 300,,,أرضي,,7,False,تجاري,medium,True,"للاجار  بالجسر الابيض 
📍📍📍📍
عقار ارضي غرفتين وبوفيه وحمام 
 يصلح عيادة مكتب سكني مستودع 
اكساء جيد 
مطلوب 300$ + شهر عمولة مكتب"
fbf646c790,2026-08-15,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,صيدلية/تجاري,محل تجاري,أبو رمانة,أبو رمانة,,,30.0,,,,7,False,صور; تجاري,medium,True,"للاجارعيادة🎯🎯
اسنان مجهزة بدون اجهزةبأبو رمانة جادة ابن الهيثم جانب صيدلية الرافعي نزول ٨ درجات المساحة ٣٠ متر
مطلوب ٧ مليون بالشهروعمولة شهر 
لا يوجد صور🎯🎯"
610439f991,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,ركن الدين,ركن الدين,220000.0,220 الف$,126.0,,طابق تاسع,1746.03,8,False,مصعد; صور,high,False,"شقة للبيع 🌷
شرقي ركن الدين
خلف الهجرة والجوازات
نسق ثاني بناء برجي
4 غرف و صوفا
طابق تاسع من اصل 12
مساحة ١٢٦ م اطلالة على الحزام
كسوة قديمة جيده - مصعد طاقة - 
 اتجاهات شرقي قبلي
المطلوب 220 الف$و بازار
لايوجد صور 🎯"
248eda8d76,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,الفيحاء,الفيحاء,300000.0,300 الف,145.0,,طابق خامس,2068.97,9,True,مصعد; صور,high,False,"🎯🎯للبيع بيت قرب نادي الكهربا عالاستراد الفيحاء اطلالة على الحزام الاخضر مساحة ١٤٥ متر طابق خامس مصعد طاقة كسوة قديمة نضيفة السعر ٣٠٠ الف وبازار
🎯🎯يوجدصورللزبون"
b7d6ee3468,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,ركن الدين,ركن الدين,250000.0,250 الف $,150.0,,طابق 8,1666.67,9,True,فيديو,high,False,"للبيع شقة🎯
اطلاله ملكيه
 بشرقي ركن الدين 
خلف الهجرة والجوازات
طابق 8 
اطلاله على الحزام الأخضر
وبساتين العدوي وطلوع التنايا
اتجاه شرقي شمالي
مساحة 150 متر
كسوة قديمه نضيفه
4 غرف وصالون  مع حمامين
ساحة لركن السيارات امام البناء ناطور
بئر ماء خاص بالبناء
المطلوب 250 الف $ 
يوجد فيديو🎯"
4ebf3097e9,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,صيدلية/تجاري,محل تجاري,الفيحاء,الفيحاء,310000.0,مطلوب 310,180.0,,أرضي,1722.22,10,True,صور; تجاري,high,False,"للبيع منزل🎯
 استراد الفيحاء مقابل منتزة جوري قريب لصيدلية النسيم
 طابق ارضي طلوع ٥ درجات
 مساحة ٢٣٠ متر 
داخلي  180 متر 
50  متر تراس 
 قبلي شرقي شمالي
 اربع غرف وصالون
 #ويوجد غرفتين ومنافع منفصلين  مع خط هاتف وساعة كهرباء
 كسوة ممتازة
طابو 2400 سهم
 مطلوب 310 وبازار
يوجد صور🎯"
72b107aa7c,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,برنية,برنية,300000.0,300 ألف دولار,135.0,,طابق خامس,2222.22,10,True,طابو أخضر; مصعد; فيديو,high,False,"للبيع شقة 🎯🎯
بعد دوار شارع برنية نزلة نذير سالم إطلالة حلوه
الإرتفاع الطابقي : طابق خامس(يوجد مصعد طاقة)
المساحة : 135 م
الإتجاهات : قبلي شرقي شمالي .
الإكساء : سوبر .
الملكية : طابو أخضر 2400 سهم .  
موقع مميز جدااا
السعر المطلوب : 300 ألف دولار وبازار .
يوجد فيديو🎯🎯"
9c82193a3d,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,تجاري,محل تجاري,الفيحاء,الفيحاء,300000.0,300الف,160.0,,أرضي,1875.0,10,True,فيديو; تجاري,high,False,"🌷منزل للبيع بموقع استراتيجي يصلح لاي عمل تجاري وسكني ارضي طلوع كم درجة عاسترادالفيحاء مقابل منتزه البستان مساحة ١٦٠متر كسوة وسط طابو٢٤٠٠
مطلوب ٣٠٠الف 🌷
يوجد فيديو"
241a3caa51,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,ركن الدين,ركن الدين,160000.0,160 الف,100.0,,طابق ثاني,1600.0,10,True,طابو أخضر; مصعد; فيديو,high,False,"منزل للبيع 🌷
 شرقي ركن الدين 
 شارع الهجرة والجوازات  
 الطابق: تاني مع مصعد 
 مساحة: 100 متر 
 غرف عدد 3 وصالون ومنافع 
 كسوة ممتازة 
 اطلالة على حدائق من جميع الاتجاهات 
 طابو اخضر 2400
 يوجد فيديو عالواتس
المطلوب 160 الف و سكرا يوجد فيديو🌷"
1e5583a1d3,2026-08-15,uploaded WhatsApp dump Aug 5-25,بيع,بيع,تجاري,محل تجاري,طريق المطار,طريق المطار,100000.0,100الف $,100.0,,,1000.0,8,False,,high,False,"🌷محل طريق المطار اول جسر مفرق الاندلس طريق صالات الاكساء والسيراميك مقابل زنوبيا مساحة ١٠٠ متر عالشارع العام مباشرة يصلح لكل المهن 
للبيع من المالك صاحب العقار
حكم محكمة سهلة نقلو لطابو
مطلوب ١٠٠الف $🌷"
ae5e76c053,2026-08-14,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,حاميش,حاميش,115000.0,115 الف,100.0,,طابق رابع,1150.0,9,True,صور; طاقة,high,False,"للبيع🌹
شقه ولا احلا من هيك شقه
مقابل مول قاسيون  
جانب مركز الصلخدي الطبي
طابق رابع أخير
 مساحة 100 متر
 اتجاه شرقي شمالي
وبطارية ليثيوم
 غرفتين وصالون وحمامين
كسوة ممتازة جدا مشمس وضاوي
الملكيه اسكان
  حكم محكمه
المطلوب 115 الف و سكرا
يوجد صور🎯"
35c0fc4b91,2026-08-14,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,برزة,برزة,190000.0,190الف,160.0,,طابق 3,1187.5,9,True,مصعد; فيديو,high,False,"منزل للبيع🎯🎯
 مساكن برزة قرب دوارالطاهي مساحة ١٦٠متر خمس غرف قبلي شرقي غربي كسوة  قديمه طابق 3مع مصعدطابو٢٤٠٠
مطلوب ١٩٠الف 
يوجدفيديو للزبون🎯🎯"
d31e971aa3,2026-08-14,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,الزاهرة,الزاهرة,145000.0,145 الف $,90.0,,"قبو, طابق ثاني",1611.11,10,True,سطح; قبو; مصعد; فيديو; طاقة,high,False,"للبيع بالزاهرة 
القديمة 
📍📍📍📍📍
مقابل المركز الثقافي 
طابق تاني ٩٠ متر 
اكساء سوبر ديلوكس حديث 
مصعد ٢٤ ساعة 
موجود طاقة شمسية كاملة 
غرفتين وصالون وغرفة سفرة اتجاه شرقي  حصة بالسطح والقبو 
يوجد بئر ماء بالبناء 
السعر ١٤٥ الف $  مع الفرش
يوجد فيديو"
2a8e1cd5da,2026-08-14,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,المالكي,المالكي,32000.0,"32,000 دولار",231.0,,أرضي,,10,True,صور; تجاري,high,False,"✨من المالك مباشرة✨
للإيجار: سكني أو غير معلن
الموقع : المالكي ، شارع قرطبة ، خلف مشفى الحكمة
الارتفاع الطابقي : أرضي نزول كم درجة 
حالة العقار: فاضي غير مفروش 
المساحة : 231 متر²
تقسيم العقار: 6 غرف صالون  حمامات مطبخ
الإكساء : ممتاز (تشطيب جديد)
صور العقار: يوجد على الواتساب 
💰السعر: 32,000 دولار سنوي 
+ إيجار شهر عمولة مكتب"
dc625696d8,2026-08-13,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,ركن الدين,ركن الدين,700.0,مطلوب 700,,,طابق رابع,,8,True,مصعد; صور; تجاري,medium,True,"للاجار 🌹
البيت بشرقي ركن الدين شارع الهجره والجوازات..مفروش ديلوكس خرج عرسان..غرفه نوم وصالون كبييير ومطبخ امريكي كبير ومنتفعات
طابق رابع مع مصعد ... واشتراك شهري بالطاقه الشمسيه الاسانصير للي بحب
مطلوب 700$ بالشهر والاجار  سنوي حصرا وعمولة شهر للمكتب + تامين
يوجد صور🎯"
36dd5ef375,2026-08-13,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,الميسات,الميسات,550.0,السعر 550,30.0,,,,9,False,صور; تجاري,high,False,"للاجار محل🌈🌈🌈
 الميسات اول طلعة الميسات
مطل عل شارع العام مع وجيبه كبيرة لسيارات  
يصلح لاي عمل تجاري
🌀🌀🌀🌀🌀🌀
المساحة ٣٠ متر مع سقيفه على المساحته والمحل جاهز ومنفوض حديثا 
واجهة سكريت 
السعر 550  دولار بل شهر 
دفع سنتين سلف 
لايوجد مدخنة 🌈🌈🌈
لايوجد صور"
4aa056819d,2026-08-13,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,البرامكة,البرامكة,400.0,400$,,,طابق أول,,8,True,فيديو; تجاري; برندا,medium,True,"نغتذر من المكاتب والوسطاء
بيت للاجار 1رقم
⚘️⚘️⚘️⚘️⚘️⚘️
 بالبرامكة بالحلبوني طابق اول غرفتين ومطبخ وسقيفة كبيرة ةبرندا  مفروش  عند المكاتب    ... ٤٠٠$بالشهر وعمولة شهر مكتب.
يوجد فيديو
⚘️⚘️⚘️⚘️⚘️"
7c2dd39e1f,2026-08-13,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,البرامكة,البرامكة,,,,,طابق أول,,5,True,فيديو,medium,True,"نعتذر من المكاتب والوسطاء
للاجار بدون فرش رقم 2
⚘️⚘️⚘️⚘️⚘️⚘️⚘️ بيت بالبرامكه اطلاله ع جامع الرفاعي طابق اول غرفتين وصالون وبراندا عدد٢ الدفع سنوي ٤٢٥ دولار
يوجد فيديو⚘️"
